ID	smiles	name	distance	standard deviation	matching rate (HMBC)		matching rate (HSQC)	
20	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2C2=C(O)C3=C(OC(=CC3=O)C3=CC(O)=C(O)C=C3)C=C2O)[C@H](O)[C@@H](O)[C@@H]1O	Isoorientin-2″-O-β-glucopyranoside	0.03	0.86	0/54	0.00%	10/17	58.82%
21	c12c3c([nH]c1C(=NCC2)C)cccc3	Dihydro-beta-carboline	0.02	0.84	2/21	9.52%	4/7	57.14%
22	O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)=C(O)C=C1O)O4)C=C4C5=CC(O)=C(O)C=C5	Orientin_6''-O-glucoside	0.03	0.85	0/54	0.00%	11/17	64.71%
23	OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OC2=C(C=CC(C3=CC(C4=C(C([C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO)=C(C=C4O)O)O3)=O)=C2)O	Orientin_3'-O-glucoside	0.02	0.84	15/53	28.30%	11/17	64.71%
24	OC1=C(C=CC(C2=CC(C3=C(C([C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)=C(C=C3O)O)O2)=O)=C1)O	Orientin_6''-O-alpha-L-rhamnoside	0.03	0.84	7/54	12.96%	11/17	64.71%
25	C[C@H](CC[C@H]1C(C)=CC(=O)CC1(C)C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	Blumenol_C_beta-D-glucoside	0.02	0.83	8/49	16.33%	11/15	73.33%
26	C[C@H](CC[C@H]1C(C)=CC(=O)CC1(C)C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	Blumenol_C-beta-D-glucoside	0.02	0.83	8/49	16.33%	11/15	73.33%
27	CC1=CC(=O)CC([C@H]1CC[C@@H](C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)(C)C	Byzantionoside_B	0.02	0.83	8/49	16.33%	11/15	73.33%
28	COC1=C(C=CC(C2=CC(C3=C(C([C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO)O)O)CO)=C(C=C3O)O)O2)=O)=C1)O	Scoparin_2''-O-glucoside	0.03	0.82	3/56	5.36%	11/18	61.11%
29	c1ccc(cc1)c1cc(=O)c2c(cc(cc2o1)O)O	Chrysin	0.06	0.84	1/16	6.25%	4/6	66.67%
30	c1cc(c(cc1c1cc(=O)c2c(cc(c(c2O)[C@H]2C([C@H]([C@@H](C(CO)O2)O)O)O)O)o1)O)O[C@H]1C(C([C@@H](C(CO)O1)O)O)O	Isoorientin_4'-O-glucoside	0.01	0.78	8/52	15.38%	11/17	64.71%
31	c1cc(ccc1c1cc(=O)c2c(cc(c(c2O)[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)o1)O	Saponarin	0.01	0.75	8/46	17.39%	10/16	62.50%
32	OCC1OC(OC2(CC3OC3C2O)C#N)C(O)C(O)C1O	(1R,2R,3R,4R)-Suberin_A	0.00	0.74	12/33	36.36%	8/10	80.00%
33	c1cc(ccc1c1cc(=O)c2c(cc(c(c2O)[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)o1)O	Meloside_A	0.02	0.75	2/47	4.26%	9/16	56.25%
34	C1CC(C#N)(C(C1O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	Passiguatemalin	0.00	0.73	10/31	32.26%	8/10	80.00%
35	c1cc(c(cc1c1cc(=O)c2c(cc(c(c2O)C2C(C(C(C(CO)O2)O)O)OC2C(C(C(C(CO)O2)O)O)O)O)o1)O)O	Isoorientin_2''-O-glucopyranoside	0.02	0.75	2/53	3.77%	9/17	52.94%
36	O=C(C1=C(O)C([C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C1O4)C=C4C5=CC(O)=C(O)C=C5	Cynaroside_6-C-alpha-L-rhamnoside	0.02	0.75	12/53	22.64%	10/17	58.82%
37	COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C2O	Isoscoparin_2''-O-glucoside_(chrysoeriol_6-C-glucoside_2''-O-glucoside)	0.03	0.75	0/56	0.00%	11/18	61.11%
38	c1cc(ccc1c1cc(=O)c2c(cc(c(c2O)[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)o1)O	Isovitexin	0.01	0.73	9/29	31.03%	5/10	50.00%
39	OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=O)C(O)=C(OC3=C2)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O	Quercetin_7-O-glucoside	0.05	0.77	8/34	23.53%	7/11	63.64%
40	c1cc(c(cc1c1cc(=O)c2c(cc(c(c2O)[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)o1)O)O	Isoorientin	0.02	0.73	9/35	25.71%	5/11	45.45%
41	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O	Cynaroside	0.05	0.77	8/37	21.62%	7/12	58.33%
42	OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OC2=CC(O)=C3C(C=C(C4=CC(O)=C(C=C4)O)OC3=C2)=O	Luteolin_7-O-glucoside	0.05	0.77	8/37	21.62%	7/12	58.33%
43	CC1[C@@H]([C@@H](C([C@@H](O1)OC1[C@H]([C@@H](C(CO)O[C@H]1c1c(cc(c2c(=O)cc(c3ccc(c(c3)O)O[C@H]3C(C([C@@H](C(CO)O3)O)O)O)oc12)O)O)O)O)O)O)O	Orientin_4'-O-glucoside-2''-O-rhamnoside	0.03	0.74	4/71	5.63%	14/23	60.87%
44	O=C(O)[C@@]1(O)C[C@@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)[C@H](O)[C@H](O)C1	3-Caffeoylquinic_acid	0.02	0.73	8/35	22.86%	4/10	40.00%
45	O=C(O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)C1	5-Caffeoylquinic_acid	0.02	0.73	8/35	22.86%	4/10	40.00%
46	c1cc(ccc1c1cc(=O)c2c(cc(c(c2o1)[C@H]1C([C@H]([C@@H](C(CO)O1)O)O)O[C@H]1C([C@H]([C@@H](CO1)O)O)O)O)O)O	Vitexin_2''-O-xyloside	0.02	0.72	1/45	2.22%	9/15	60.00%
47	c1cc(ccc1c1cc(=O)c2c(cc(c(c2O)[C@H]2C([C@H]([C@@H](C(CO)O2)O)O)O[C@H]2C([C@H]([C@@H](CO2)O)O)O)O)o1)O	Isovitexin_2''-O-xyloside	0.02	0.72	4/44	9.09%	9/15	60.00%
48	CC(=CC\C=C(/C)\C(=O)OC1OC(CO)C(O)C(O)C1O)C	(2E)-2,6-Dimethyl-2,5-heptadienoic_acid_beta-D-glucopyranosyl_ester	0.03	0.74	8/32	25.00%	6/11	54.55%
49	c1cc(ccc1c1cc(=O)c2c(cc(c(c2O)[C@H]2C([C@H]([C@@H](C(CO)O2)O)O)O[C@H]2C([C@H]([C@H](C(CO)O2)O)O)O)O[C@H]2C([C@H]([C@H](C(CO)O2)O)O)O)o1)O	Isovitexin_7,2''-Di-O-galactoside	0.03	0.73	1/64	1.56%	14/22	63.64%
50	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C([C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1	Schaftoside	0.02	0.71	12/44	27.27%	9/15	60.00%
51	CC1[C@@H]([C@@H](C([C@@H](O1)OC2[C@H]([C@@H](C(O[C@H]2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC(=C(C=C5)O)OC)O)CO)O)O)O)O)O	Isoscoparin_2''-O-rhamnoside	0.03	0.73	7/56	12.50%	10/18	55.56%
52	CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	Linamarin	0.00	0.70	10/19	52.63%	5/7	71.43%
53	c1(c(c(c2c(c1)oc(cc2=O)c1ccc(cc1)O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)C)O)[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)OC	Flavocummelin	0.01	0.70	7/48	14.58%	10/17	58.82%
54	O=C(O)[C@@]1(O)C[C@@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)[C@H](O)[C@H](OC(/C=C/C3=CC(O)=C(O)C=C3)=O)C1	3,5-Dicaffeoylquinic_acid	0.03	0.72	3/26	11.54%	4/8	50.00%
55	CC[C@](C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	Lotaustralin	0.01	0.70	10/25	40.00%	7/9	77.78%
56	C/C(=C\CC(C(C)(C)O)O)/C(CO)O	(3E)-3,7-Dimethyl-3-octene-1,2,6,7-tetrol	0.02	0.70	4/20	20.00%	5/7	71.43%
57	CC1[C@H]([C@@H](C([C@H](c2c(cc3c(c(=O)cc(c4ccc(c(c4)O)O)o3)c2O)O)O1)O)O)O	6-C-Chinovopyranosylluteolin	0.02	0.70	8/35	22.86%	4/11	36.36%
58	CC1[C@H]([C@@H](C([C@@H](c2c(cc3c(c(=O)cc(c4ccc(c(c4)O)O)o3)c2O)O)O1)O)O)O	6-C-Fucopyranosylluteolin	0.02	0.70	8/35	22.86%	4/11	36.36%
59	CC1[C@@H]([C@@H](C([C@@H](O1)OC1[C@H]([C@@H](C(CO)O[C@H]1c1c(cc(c2c(=O)cc(c3ccc(cc3)O[C@H]3C(C([C@@H](C(CO)O3)O)O)O)oc12)O)O)O)O)O)O)O	Vitexin_4'-O-glucoside-2''-O-rhamnoside	0.03	0.70	4/65	6.15%	13/22	59.09%
60	c1cc(ccc1c1cc(=O)c2c(cc(c(c2O)[C@H]2C([C@H]([C@H](CO2)O)O)O)O)o1)O	Isomollupentin	0.02	0.70	8/26	30.77%	5/9	55.56%
61	CC1[C@@H]([C@@H](C([C@@H](O1)OC1[C@H]([C@@H](C(CO)O[C@H]1c1c(cc(c2c(=O)cc(c3ccc(c(c3)OC)O)oc12)O)O)O)O)O)O)O	Scoparin_2''-O-rhamnoside	0.02	0.69	6/56	10.71%	9/18	50.00%
62	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@H]1c1c(cc2c(c(=O)cc(c3ccc(c(c3)O)O)o2)c1O)O)O)O)O)O)O	Isoorientin_2''-O-rhamnoside	0.02	0.69	7/53	13.21%	8/17	47.06%
63	COc1ccc(cc1)c1cc(=O)c2c(cc(cc2o1)OC)O	Apigenin_7,4'-dimethyl_ether	0.05	0.70	2/18	11.11%	3/7	42.86%
64	O=C(O)[C@@]1(O)C[C@@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)[C@H](OC(/C=C/C3=CC(O)=C(O)C=C3)=O)C1	4,5-Dicaffeoylquinic_acid	0.08	0.72	5/53	9.43%	6/15	40.00%
65	C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O	3,4-Dicaffeoylquinic_acid	0.08	0.72	5/53	9.43%	6/15	40.00%
66	OC[C@H]1O[C@@H](OC2=CC(C(O)=O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O	Dihydroxybenzoyl-O-beta-D-glucoside	0.02	0.65	8/27	29.63%	7/9	77.78%
67	OC(C=C1)=CC=C1C(OC2=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C([C@@H]([C@H](O)[C@H]4O)O[C@H]4CO)C(O)=C52)=CC5=O	Apigenin_6-C-alpha-L-arabinofuranoside-8-C-beta-D-glucoside	0.02	0.64	4/44	9.09%	9/15	60.00%
68	[C@]12(/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(\C)/C=C/[C@]34C(C[C@@H](C[C@@]3(C)O4)O)(C)C)\C)/C)/C)C(C[C@@H](C[C@@]1(C)O2)O)(C)C	Violaxanthin	0.10	0.72	3/65	4.62%	5/18	27.78%
69	OC[C@H]1O[C@@H](OC2=C(O)C=CC(\C=C\C(O)=O)=C2)[C@H](O)[C@@H](O)[C@@H]1O	Caffeic_acid_3-beta-D-glucoside	0.01	0.61	9/34	26.47%	7/11	63.64%
70	c1ccc(cc1)c1cc(=O)oc2cc(cc(c12)O)O[C@H]1C([C@H]([C@@H](C(CO)O1)O)O)O	Serratin_7-O-glucoside	0.04	0.62	8/33	24.24%	9/12	75.00%
71	CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O1)O)O)O	Linustatin	0.01	0.60	1/37	2.70%	10/13	76.92%
72	CC[C@](C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O1)O)O)O	Neolinustatin	0.02	0.60	1/43	2.33%	12/15	80.00%
73	OCC1OC(OC2(CCC=C2)C#N)C(O)C(O)C1O	(S)-Tetraphyllin_A	0.02	0.60	10/31	32.26%	6/10	60.00%
74	C1=C[C@](CC1)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O	Deidaclin	0.02	0.60	10/31	32.26%	6/10	60.00%
75	O=C1C=C(OC2=CC(O)=C(C(O)=C12)[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)O)O)CO[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO)C6=CC=CC=C6	Chrysin_6-C-(6'',_2''-di-O-beta-D-glucoside)-beta-D-glucoside	0.05	0.62	2/68	2.94%	14/23	60.87%
76	OC[C@@H]1OC([C@H](O)[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=C(O)C=C1	Apigenin_6-C-beta-D-glucoside_8-C-alpha-L-arabinofuranoside	0.02	0.58	3/46	6.52%	9/16	56.25%
77	[C@]12(/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(\C)/C=C=C3C(C[C@@H](C[C@@]3(C)O)O)(C)C)\C)/C)/C)C(C[C@@H](C[C@@]1(C)O2)O)(C)C	Neoxanthin	0.14	0.70	1/94	1.06%	8/27	29.63%
78	OC[C@H]1O[C@@H](OC2=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O	Isovitexin_7-O-glucoside_(apigenin_6-C-glucoside_7-O-glucoside)	0.02	0.58	9/47	19.15%	10/16	62.50%
79	OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2C3=C(C=C(C4=C3OC(C5=CC=C(C=C5)O)=CC4=O)O)O)CO)O)O	Vitexin_2''-O-glucoside	0.04	0.59	3/48	6.25%	9/16	56.25%
80	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C2OC(=CC(=O)C2=C(O)C([C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=CC=C1	Chrysin_6-C-alpha-L-arabinoside_8-C-beta-D-glucoside	0.01	0.56	14/47	29.79%	12/16	75.00%
81	C[C@H]1O[C@H](OC2=CC3=C(C(O)=C2)C(=O)C(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(O3)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O	quercetin_3-O-glucosyl-(1--2)-glucoside-7-O-rhamnoside	0.05	0.60	1/69	1.45%	13/23	56.52%
82	O=C1C=C(OC2=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=CC(O)=C12)C4=CC=CC=C4	Chrysin_7-C-beta-D-glucoside	0.02	0.57	13/34	38.24%	8/12	66.67%
83	OC[C@H]1O[C@@H](C2=C3OC(C4=CC=CC=C4)=CC(C3=C(C([C@@H]5OC[C@@H]([C@@H]([C@H]5O)O)O)=C2O)O)=O)[C@@H]([C@H]([C@@H]1O)O)O	Chrysin_6-C-glucoside-8-C-pentoside	0.01	0.56	14/45	31.11%	11/15	73.33%
84	O[C@@H]1C[C@@](C(O)=O)(O)C[C@@H](OC(/C=C/C2=CC(OC)=C(O)C=C2)=O)[C@H]1O	5-O-Feruloylquinic_acid	0.02	0.57	8/37	21.62%	4/11	36.36%
85	COC1=C(O)C=CC(/C=C/C(O[C@@H]2C[C@@](C(O)=O)(O)C[C@@H](O)[C@H]2O)=O)=C1	3-O-Feruloylquinic_acid	0.02	0.57	8/37	21.62%	4/11	36.36%
86	O=C1C=C(OC2=CC(O)=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C12)C4=CC=CC=C4	Chrysin_6-C-beta-D-glucoside	0.02	0.57	13/32	40.62%	7/11	63.64%
87	C1[C@@H](C[C@@]2([C@@](C1(C)C)(/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C[C@H](CC1(C)C)O)C)\C)\C)/C)/C)O2)C)O	Antheraxanthin	0.17	0.71	0/102	0.00%	7/30	23.33%
88	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C2OC(=CC(=O)C2=C(O)C([C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=C(O)C=C1	Isoschaftoside	0.02	0.56	11/43	25.58%	9/14	64.29%
89	OC(C(C=C1O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)=C(C=C1)O)=O	Dihydroxybenzoyl-O-alpha-L-arabinose	0.02	0.56	5/24	20.83%	6/8	75.00%
90	C=C/C=C\CCOC(=O)CCC	(Z)-3,5-Hexadienyl_butyrate	0.04	0.57	2/21	9.52%	5/9	55.56%
91	CC1OC(C(O)C(O)C1O)c2c(O)c(C3OC(CO)C(O)C(O)C3O)c4OC(=CC(=O)c4c2O)c5ccc(O)cc5	Isoviolanthin	0.01	0.54	12/44	27.27%	8/14	57.14%
92	O[C@@H]1C[C@@](C(O)=O)(O)C[C@@H](O)[C@H]1OC(/C=C/C2=CC(OC)=C(O)C=C2)=O	4-O-Feruloylquinic_acid	0.02	0.55	5/30	16.67%	4/10	40.00%
93	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1	Vicenin-2	0.01	0.54	10/45	22.22%	9/15	60.00%
94	OC[C@@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OC2=C(C(O)=C3C(C=C(C4=CC=C(C=C4)O)OC3=C2)=O)[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O[C@@H]6OC[C@@H]([C@@H]([C@H]6O)O)O)O)O)CO	Isovitexin_7-O-glucoside_2''-O-arabinoside	0.04	0.57	1/62	1.61%	14/21	66.67%
95	OC[C@H]1OC(C2=C(C(C3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)=C4OC(C5=CC=C(C=C5)O)=CC(C4=C2O)=O)O)[C@@H]([C@H]([C@@H]1O)O)O	Apigenin_6,8-di-C-beta-D-glucose	0.01	0.54	10/44	22.73%	8/14	57.14%
96	OC[C@H]1O[C@@H](C2=C(C([C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)=C4OC(C5=CC=C(C=C5)O)=CC(C4=C2O)=O)O[C@@H]6O[C@@H]([C@H]([C@@H]([C@H]6O)O)O)CO)[C@@H]([C@H]([C@@H]1O)O)O	Apigenin_6,_8-di-C--beta-D-glucoside-7-O-beta-D-glucoside	0.02	0.55	8/61	13.11%	13/20	65.00%
97	O=C1C=C(C2=CC=CC=C2)OC3=CC(O)=C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)C(O)=C13	Chrysin_6-C-(2''-O-alpha-L-arabinose)-beta-D-glucoside	0.03	0.55	6/47	12.77%	11/16	68.75%
98	O[C@H]([C@H]1O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](CO)O[C@@H]1C3=C(O)C4=C(OC(C5=CC=C(O)C=C5)=CC4=O)C=C3O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O	Isovitexin_2''-O-beta-D-glucoside-7-O-beta-D-glucoside	0.04	0.56	1/66	1.52%	14/23	60.87%
99	O=C(O)[C@@]1(O)C[C@@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)[C@H](O)C1	4-Caffeoylquinic_acid	0.02	0.54	4/25	16.00%	4/8	50.00%
100	OC[C@@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OC2=C(C(O)=C3C(C=C(C4=CC=C(C=C4)O)OC3=C2[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)=O)[C@@H]6O[C@@H]([C@H]([C@@H]([C@H]6O)O)O)CO	Isovitexin_8-C-arabonoside-7-O-glucoside	0.02	0.54	9/60	15.00%	14/20	70.00%
