ID	smiles	name	distance	standard deviation	matching rate (HSQC)	
11	c1cc(c(cc1/C=C/C(=O)O)O)O	caffeic acid	0.14	0.81	4/5	80.00%
12	COc1ccc(cc1)c1c(c(=O)c2c(cc(c(c2O)O)O)o1)O	3,5,6,7-Tetrahydroxy-4'-methoxyflavone	0.00	0.66	5/5	100.00%
13	c1cc(c(cc1/C=C/C(=O)O[C@@H]1CC(C[C@H](C1O)OC(=O)/C=C/c1ccc(c(c1)O)O)(C(=O)O)O)O)O	3,5-Dicaffeoylquinic acid	0.14	0.79	7/10	70.00%
14	c1cc(c(cc1/C=C/C(=O)O[C@H](Cc1ccc(c(c1)O)O)C(=O)O)O)O	Rosmarinic acid	0.22	0.81	5/10	50.00%
15	c1cc(c(cc1/C=C/C(=O)OC1[C@@H](CC(C[C@H]1O)(C(=O)O)O)O)O)O	4-caffeoylquinic acid	0.15	0.64	6/9	66.67%
16	c1cc(c(cc1/C=C/C(=O)O[C@@H]1C[C@@](C[C@H]([C@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O)(C(=O)O)O)O)O	3,4-Dicaffeoylquinic acid	0.21	0.69	8/15	53.33%
17	c1cc(c(cc1/C=C/C(=O)O[C@@H]1C[C@@](C[C@H]([C@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O)(C(=O)O)O)O)O	4,5-Dicaffeoylquinic acid	0.21	0.69	8/15	53.33%
18	c1cc(ccc1c1c(c(=O)c2c(cc(cc2o1)O)O)O)O	kaempferol	0.06	0.51	4/5	80.00%
19	c1cc(ccc1c1cc(=O)c2c(cc(cc2o1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O	apigenin 7-O-glucoside	0.18	0.60	10/11	90.91%
20	c1cc(ccc1/C=C/C(=O)O)O	p-coumaric acid	0.09	0.51	3/4	75.00%
21	c1ccc(c(c1)C(=O)O)O	salicylic acid	0.14	0.46	2/4	50.00%
22	c1cc(c(cc1c1c(c(=O)c2c(cc(cc2o1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O	isoquercetin	0.16	0.41	8/11	72.73%
23	c1cc(c(cc1c1c(c(=O)c2c(cc(cc2o1)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)O)O	hyperoside	0.16	0.41	8/11	72.73%
24	c1cc(c(cc1O)C(=O)O)O	gentisic acid	0.27	0.45	1/3	33.33%
25	c1cc(c(cc1c1cc(=O)c2c(cc(cc2o1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O	luteolin 7-glucoside	0.42	0.60	9/12	75.00%
26	COc1cc(ccc1O)C(=O)O	vanillic acid	0.49	0.64	2/4	50.00%
27	COc1cc(/C=C/C(=O)O)cc(c1O)OC	sinapic acid	0.41	0.32	3/5	60.00%
28	c1c(cc(c(c1O)O)O)C(=O)O	gallic acid	0.19	0.00	0/1	0.00%
29	c1cc(c(cc1C(=O)O)O)O	protocatechuic acid	0.47	0.23	1/3	33.33%
30	c1cc(c(cc1c1c(c(=O)c2c(cc(cc2o1)O)O)O)O)O	quercetin	0.58	0.24	2/5	40.00%
31	c1cc(c(cc1c1cc(=O)c2c(cc(cc2o1)O)O)O)O	luteolin	0.83	0.45	1/6	16.67%
32	COc1cc(cc(c1O)OC)C(=O)O	syringic acid	1.00	0.51	2/4	50.00%
